ngrams,class
"  VariableDeclaration VariableDeclarator Identifier Program ExpressionStatement UnaryExpression
",1
"  BlockStatement ForStatement VariableDeclaration VariableDeclarator Literal Program
",1
"  VariableDeclaration VariableDeclarator Literal Program ExpressionStatement UnaryExpression
",1
"  CallExpression FunctionExpression BlockStatement ForStatement BinaryExpression Identifier
",1
"  BlockStatement ForStatement BinaryExpression Identifier Program ExpressionStatement
",1
"  BinaryExpression Identifier Program ExpressionStatement UnaryExpression CallExpression
",1
"  UnaryExpression CallExpression FunctionExpression BlockStatement ForStatement BinaryExpression
",1
"  FunctionExpression BlockStatement ForStatement BinaryExpression MemberExpression Identifier
",1
"  ForStatement BinaryExpression MemberExpression Identifier Program ExpressionStatement
",1
"  UnaryExpression CallExpression FunctionExpression BlockStatement ForStatement UpdateExpression
",1
"  FunctionExpression BlockStatement ForStatement UpdateExpression Identifier Program
",1
"  ForStatement UpdateExpression Identifier Program ExpressionStatement UnaryExpression
",1
"  CallExpression FunctionExpression BlockStatement ForStatement ExpressionStatement LogicalExpression
",1
"  BlockStatement ForStatement ExpressionStatement LogicalExpression CallExpression MemberExpression
",1
"  ExpressionStatement LogicalExpression CallExpression MemberExpression MemberExpression Identifier
",1
"  UnaryExpression CallExpression FunctionExpression BlockStatement ForStatement ExpressionStatement
",1
"  FunctionExpression BlockStatement ForStatement ExpressionStatement LogicalExpression CallExpression
",1
"  ForStatement ExpressionStatement LogicalExpression CallExpression MemberExpression MemberExpression
",1
"  LogicalExpression CallExpression MemberExpression MemberExpression Identifier Program
",1
"  ExpressionStatement LogicalExpression CallExpression MemberExpression Identifier Program
",1
"  BlockStatement ForStatement ExpressionStatement LogicalExpression CallExpression Literal
",1
"  ExpressionStatement LogicalExpression CallExpression Literal Program ExpressionStatement
",1
"  FunctionExpression BlockStatement ForStatement ExpressionStatement LogicalExpression AssignmentExpression
",1
"  ForStatement ExpressionStatement LogicalExpression AssignmentExpression MemberExpression MemberExpression
",1
"  LogicalExpression AssignmentExpression MemberExpression MemberExpression Identifier Program
",1
"  BlockStatement ForStatement ExpressionStatement LogicalExpression AssignmentExpression MemberExpression
",1
"  ExpressionStatement LogicalExpression AssignmentExpression MemberExpression MemberExpression Identifier
",1
"  ForStatement ExpressionStatement LogicalExpression AssignmentExpression MemberExpression Identifier
",1
"  ForStatement ExpressionStatement LogicalExpression AssignmentExpression FunctionExpression Identifier
",1
"  LogicalExpression AssignmentExpression FunctionExpression Identifier Program ExpressionStatement
",1
"  ForStatement ExpressionStatement LogicalExpression AssignmentExpression FunctionExpression BlockStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression BinaryExpression MemberExpression
",1
"  ExpressionStatement CallExpression BinaryExpression MemberExpression ThisExpression Program
",1
"  BinaryExpression MemberExpression ThisExpression Program ExpressionStatement UnaryExpression
",1
"  ThisExpression Program ExpressionStatement UnaryExpression CallExpression FunctionExpression
",1
"  BlockStatement ForStatement ExpressionStatement LogicalExpression AssignmentExpression FunctionExpression
",1
"  ExpressionStatement LogicalExpression AssignmentExpression FunctionExpression BlockStatement ExpressionStatement
",1
"  AssignmentExpression FunctionExpression BlockStatement ExpressionStatement CallExpression BinaryExpression
",1
"  BlockStatement ExpressionStatement CallExpression BinaryExpression MemberExpression Identifier
",1
"  CallExpression BinaryExpression MemberExpression Identifier Program VariableDeclaration
",1
"  VariableDeclarator Identifier Program VariableDeclaration VariableDeclarator Identifier
",1
"  Program VariableDeclaration VariableDeclarator CallExpression MemberExpression Identifier
",1
"  VariableDeclarator CallExpression MemberExpression Identifier Program VariableDeclaration
",1
"  MemberExpression Identifier Program VariableDeclaration VariableDeclarator CallExpression
",1
"  Program VariableDeclaration VariableDeclarator CallExpression Literal Program
",1
"  VariableDeclarator CallExpression Literal Program ExpressionStatement AssignmentExpression
",1
"  Literal Program ExpressionStatement AssignmentExpression MemberExpression Identifier
",1
"  ExpressionStatement AssignmentExpression MemberExpression Identifier Program ExpressionStatement
",1
"  Identifier Program ExpressionStatement AssignmentExpression FunctionExpression BlockStatement
",1
"  ExpressionStatement AssignmentExpression FunctionExpression BlockStatement ExpressionStatement CallExpression
",1
"  MemberExpression Identifier Program ExpressionStatement AssignmentExpression FunctionExpression
",1
"  Program ExpressionStatement AssignmentExpression FunctionExpression BlockStatement ExpressionStatement
",1
"  CallExpression MemberExpression Identifier Program ExpressionStatement AssignmentExpression
",1
"  ExpressionStatement CallExpression Literal Program ExpressionStatement AssignmentExpression
",1
"  Literal Program ExpressionStatement AssignmentExpression FunctionExpression BlockStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression ObjectExpression Property
",1
"  ExpressionStatement CallExpression ObjectExpression Property Identifier Program
",1
"  ObjectExpression Property Identifier Program ExpressionStatement AssignmentExpression
",1
"  ObjectExpression Property Literal Program ExpressionStatement AssignmentExpression
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression MemberExpression MemberExpression
",1
"  ExpressionStatement CallExpression MemberExpression MemberExpression Identifier Program
",1
"  MemberExpression MemberExpression Identifier Program ExpressionStatement AssignmentExpression
",1
"  AssignmentExpression FunctionExpression BlockStatement ExpressionStatement CallExpression Literal
",1
"  CallExpression Literal Program ExpressionStatement AssignmentExpression FunctionExpression
",1
"  AssignmentExpression FunctionExpression BlockStatement ExpressionStatement CallExpression FunctionExpression
",1
"  CallExpression FunctionExpression Identifier Program ExpressionStatement AssignmentExpression
",1
"  FunctionExpression BlockStatement IfStatement BinaryExpression MemberExpression Identifier
",1
"  IfStatement BinaryExpression MemberExpression Identifier Program ExpressionStatement
",1
"  CallExpression FunctionExpression BlockStatement IfStatement BinaryExpression MemberExpression
",1
"  BinaryExpression MemberExpression Identifier Program ExpressionStatement AssignmentExpression
",1
"  IfStatement BinaryExpression Literal Program ExpressionStatement AssignmentExpression
",1
"  ExpressionStatement AssignmentExpression Identifier Program ExpressionStatement AssignmentExpression
",1
"  IfStatement BlockStatement ExpressionStatement AssignmentExpression MemberExpression Identifier
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement AssignmentExpression MemberExpression
",1
"  BlockStatement ExpressionStatement AssignmentExpression MemberExpression Identifier Program
",1
"  IfStatement BlockStatement ExpressionStatement CallExpression FunctionExpression Identifier
",1
"  FunctionExpression Identifier Program ExpressionStatement AssignmentExpression FunctionExpression
",1
"  BlockStatement IfStatement BlockStatement ExpressionStatement CallExpression FunctionExpression
",1
"  IfStatement BlockStatement ExpressionStatement CallExpression FunctionExpression BlockStatement
",1
"  FunctionExpression BlockStatement ExpressionStatement CallExpression CallExpression MemberExpression
",1
"  Identifier Program ExpressionStatement CallExpression FunctionExpression Identifier
",1
"  Program ExpressionStatement CallExpression FunctionExpression BlockStatement VariableDeclaration
",1
"  CallExpression FunctionExpression BlockStatement VariableDeclaration VariableDeclarator Identifier
",1
"  BlockStatement VariableDeclaration VariableDeclarator Identifier Program ExpressionStatement
",1
"  VariableDeclarator Identifier Program ExpressionStatement CallExpression FunctionExpression
",1
"  CallExpression FunctionExpression BlockStatement VariableDeclaration VariableDeclarator MemberExpression
",1
"  BlockStatement VariableDeclaration VariableDeclarator MemberExpression CallExpression MemberExpression
",1
"  VariableDeclarator MemberExpression CallExpression MemberExpression Identifier Program
",1
"  ExpressionStatement CallExpression FunctionExpression BlockStatement VariableDeclaration VariableDeclarator
",1
"  FunctionExpression BlockStatement VariableDeclaration VariableDeclarator MemberExpression CallExpression
",1
"  VariableDeclaration VariableDeclarator MemberExpression CallExpression MemberExpression Identifier
",1
"  BlockStatement VariableDeclaration VariableDeclarator MemberExpression CallExpression Identifier
",1
"  VariableDeclarator MemberExpression CallExpression Identifier Program ExpressionStatement
",1
